# Albany Airport daily average temperatures Jan 2015,
# units: degree Fahrenheit,
# sample size: 31,
# Source: http://www.erh.noaa.gov/aly/climated/2015/lcdjan15.html,
1,25
2,32
3,27
4,39
5,27
6,13
7,9
8,7
9,20
10,12
11,81
12,32
13,15
14,-9999.9
15,15
16,21
17,11
18,32
19,34
20,24
21,16
22,25
23,25
24,28
25,25
26,14
27,14
28,13
29,13
30,19
31,7
