1,40
2,27
3,38
4,37
5,35
6,33
7,22
8,35
9,36
10,28
11,18
12,19
13,17
14,18
15,22
16,31
17,17
18,28
19,19
20,11
21,-1
22,9
23,25
24,40
25,25
26,21
27,26
28,15
29,17
30,15
31,6
