time,with feedback,without feedback
201.75,35,8
201.8,35,9
201.85,36,7
201.9,35,9
201.95,36,8
202,34,8
202.05,36,6
202.1,35,7
202.15,36,7
202.2,36,6
202.25,35,5
202.3,36,6
202.35,35,5
202.4,35,4
202.45,35,6
202.5,36,6
202.55,35,6
202.6,35,5
202.65,34,6
202.7,35,7
202.75,36,7
202.8,35,8
202.85,35,6
202.9,35,8
202.95,34,9
203,34,9
203.05,35,9
203.1,35,9
203.15,34,9
203.2,35,8
203.25,36,8
203.3,36,8
203.35,35,7
203.4,35,6
203.45,34,6
203.5,35,6
203.55,35,6
203.6,35,5
203.65,35,7
203.7,35,6
203.75,35,5
203.8,35,5
203.85,36,6
203.9,35,7
203.95,35,8
204,36,7
204.05,35,7
204.1,34,7
204.15,36,8
204.2,36,7
204.25,35,9
204.3,36,8
204.35,35,9
204.4,35,8
204.45,35,8
204.5,35,9
204.55,35,8
204.6,36,7
204.65,35,7
204.7,34,6
204.75,35,6
204.8,36,7
204.85,36,5
204.9,35,6
204.95,36,6
205,36,6
205.05,35,5
205.1,36,6
205.15,34,6
205.2,35,6
205.25,36,6
205.3,36,7
205.35,35,7
205.4,35,7
205.45,34,7
205.5,35,8
205.55,36,8
205.6,36,7
205.65,36,7
205.7,36,8
205.75,34,8
205.8,36,7
205.85,35,8
205.9,35,8
205.95,36,6
206,36,6
206.05,35,7
206.1,35,6
206.15,35,5
206.2,36,5
206.25,35,6
206.3,35,6
206.35,35,6
206.4,35,6
206.45,37,6
206.5,35,7
206.55,36,6
206.6,34,7
206.65,35,7
206.7,35,7
206.75,36,7
206.8,35,8
206.85,34,8
206.9,36,8
206.95,36,8
207,35,7
207.05,35,8
207.1,35,8
207.15,36,8
207.2,35,6
207.25,35,7
207.3,36,7
207.35,35,6
207.4,35,6
207.45,35,6
207.5,35,5
207.55,35,5
207.6,35,5
207.65,36,6
207.7,35,5
207.75,35,7
207.8,36,6
207.85,35,6
207.9,35,6
207.95,35,6
208,35,7
208.05,35,6
208.1,36,7
208.15,35,8
208.2,35,8
208.25,34,8
208.3,35,6
208.35,36,8
208.4,35,7
208.45,35,7
208.5,35,7
208.55,35,8
208.6,36,7
208.65,36,8
208.7,35,6
208.75,35,7
208.8,35,7
208.85,36,5
208.9,36,5
208.95,35,7
209,36,6
209.05,35,6
209.1,35,7
209.15,36,6
209.2,35,6
209.25,35,8
209.3,35,8
209.35,35,6
209.4,35,7
209.45,35,7
209.5,36,8
209.55,35,7
209.6,34,8
209.65,36,8
209.7,36,7
209.75,35,6
209.8,35,7
209.85,36,7
209.9,35,7
209.95,36,6
210,36,7
210.05,36,6
210.1,36,6
210.15,36,7
210.2,35,7
210.25,34,6
210.3,35,6
210.35,36,6
210.4,34,7
210.45,35,7
210.5,35,7
210.55,36,7
210.6,36,7
210.65,35,6
210.7,35,7
210.75,35,7
210.8,35,8
210.85,34,9
210.9,36,5
210.95,34,8
211,35,8
211.05,35,7
211.1,35,7
211.15,35,7
211.2,35,6
211.25,35,6
211.3,36,8
211.35,35,6
211.4,36,5
211.45,34,6
211.5,35,6
211.55,35,7
211.6,35,6
211.65,35,6
211.7,35,7
211.75,35,7
211.8,34,7
211.85,36,7
211.9,34,9
211.95,34,7
212,35,7
212.05,35,8
212.1,35,8
212.15,35,7
212.2,36,7
212.25,35,7
212.3,36,6
212.35,35,7
212.4,35,8
212.45,36,7
212.5,36,6
212.55,35,7
212.6,36,6
212.65,35,6
212.7,36,6
212.75,37,6
212.8,35,6
212.85,36,6
212.9,35,7
212.95,36,6
213,34,6
213.05,36,6
213.1,36,8
213.15,37,7
213.2,36,7
213.25,35,8
213.3,34,8
213.35,40,8
213.4,34,8
213.45,34,6
213.5,35,8
213.55,34,6
213.6,39,7
213.65,35,7
213.7,34,8
213.75,37,7
213.8,34,5
213.85,34,6
213.9,36,6
213.95,34,7
214,37,6
214.05,34,7
214.1,34,6
214.15,36,6
214.2,34,6
214.25,36,7
214.3,35,7
214.35,33,6
214.4,36,7
214.45,34,7
214.5,37,8
214.55,35,7
214.6,35,7
214.65,36,7
214.7,34,7
214.75,36,7
214.8,35,8
214.85,35,7
214.9,35,6
214.95,35,8
215,36,6
215.05,33,6
215.1,36,5
215.15,35,7
215.2,35,5
215.25,36,7
215.3,35,7
215.35,35,6
215.4,36,7
215.45,34,6
215.5,36,6
215.55,35,7
215.6,36,7
215.65,36,6
215.7,35,6
215.75,36,9
215.8,36,6
215.85,35,8
215.9,36,6
215.95,36,7
216,34,6
216.05,35,6
216.1,36,7
216.15,35,6
216.2,36,8
216.25,35,7
216.3,35,6
216.35,35,8
216.4,35,7
216.45,36,7
216.5,36,7
216.55,36,7
216.6,35,7
216.65,35,6
216.7,35,7
216.75,35,8
216.8,36,7
216.85,36,7
216.9,35,7
216.95,36,7
217,35,8
217.05,35,8
217.1,34,6
217.15,35,7
217.2,35,6
217.25,35,6
217.3,35,8
217.35,35,7
217.4,35,6
217.45,33,7
217.5,36,8
217.55,35,7
217.6,35,7
217.65,36,6
217.7,35,6
217.75,35,5
217.8,35,7
217.85,35,6
217.9,35,7
217.95,36,7
218,36,8
218.05,36,6
218.1,36,7
218.15,35,6
218.2,36,8
218.25,36,6
218.3,36,7
218.35,35,5
218.4,35,7
218.45,35,7
218.5,35,7
218.55,35,6
218.6,35,7
218.65,35,7
218.7,35,7
218.75,35,7
218.8,36,7
218.85,35,6
218.9,35,7
218.95,34,8
219,35,7
219.05,34,7
219.1,36,7
219.15,35,6
219.2,36,7
219.25,35,7
219.3,35,7
219.35,36,7
219.4,35,5
219.45,36,7
219.5,36,8
219.55,35,7
219.6,36,6
219.65,36,7
219.7,35,6
219.75,36,7
219.8,35,7
219.85,34,7
219.9,35,7
219.95,35,7
220,36,7
220.05,35,6
220.1,35,7
220.15,36,8
220.2,37,7
220.25,35,7
220.3,36,7
220.35,36,6
220.4,36,6
220.45,35,7
220.5,35,7
220.55,35,7
220.6,35,6
220.65,35,8
220.7,35,7
220.75,35,8
220.8,36,7
220.85,36,6
220.9,37,7
220.95,36,6
221,34,6
221.05,35,7
221.1,36,6
221.15,35,7
221.2,36,7
221.25,34,7
221.3,35,7
221.35,35,7
221.4,36,6
221.45,35,6
221.5,36,7
221.55,36,7
221.6,35,7
221.65,36,7
221.7,36,8
221.75,35,6
221.8,36,7
221.85,35,6
221.9,36,6
221.95,35,7
222,36,6
222.05,35,7
222.1,35,8
222.15,36,6
222.2,35,6
222.25,35,7
222.3,37,7
222.35,36,7
222.4,36,6
222.45,35,6
222.5,35,7
222.55,35,6
222.6,35,7
222.65,35,7
222.7,35,6
222.75,35,7
222.8,34,7
222.85,35,5
222.9,35,6
222.95,35,6
223,34,7
223.05,35,6
223.1,36,7
223.15,36,7
223.2,36,6
223.25,36,8
223.3,36,7
223.35,35,7
223.4,35,7
223.45,35,7
223.5,35,7
223.55,35,8
223.6,35,7
223.65,36,7
223.7,35,6
223.75,36,7
223.8,35,7
223.85,35,7
223.9,36,8
223.95,36,7
224,36,7
224.05,36,6
224.1,35,7
224.15,35,7
224.2,35,7
224.25,35,6
224.3,35,7
224.35,35,6
224.4,35,8
224.45,35,8
224.5,35,8
224.55,36,8
224.6,35,8
224.65,35,6
224.7,36,7
224.75,35,7
224.8,35,6
224.85,34,7
224.9,36,7
224.95,36,6
225,36,7
225.05,36,6
225.1,36,7
225.15,36,6
225.2,34,7
225.25,35,7
225.3,36,6
225.35,36,6
225.4,36,8
225.45,35,7
225.5,35,7
225.55,37,6
225.6,35,7
225.65,36,8
225.7,36,7
225.75,36,7
225.8,36,7
225.85,35,7
225.9,36,6
225.95,36,7
226,35,5
226.05,35,8
226.1,35,8
226.15,36,6
226.2,35,6
226.25,35,6
226.3,35,7
226.35,36,8
226.4,35,7
226.45,35,7
226.5,36,7
226.55,35,7
226.6,36,6
226.65,35,8
226.7,36,6
226.75,35,8
226.8,36,7
226.85,36,7
226.9,35,8
226.95,36,7
227,35,7
227.05,35,6
227.1,36,6
227.15,35,8
227.2,36,7
227.25,35,7
227.3,36,7
227.35,35,7
227.4,35,8
227.45,35,6
227.5,35,7
227.55,35,7
227.6,35,7
227.65,36,6
227.7,36,7
227.75,36,7
227.8,35,7
227.85,35,6
227.9,36,7
227.95,35,7
228,36,6
228.05,35,7
228.1,35,5
228.15,35,6
228.2,36,7
228.25,36,6
228.3,36,6
228.35,35,6
228.4,36,6
228.45,36,6
228.5,35,7
228.55,35,7
228.6,34,6
228.65,36,6
228.7,35,7
228.75,35,7
228.8,35,6
228.85,34,6
228.9,35,6
228.95,35,7
229,35,6
229.05,35,6
229.1,35,7
229.15,35,7
229.2,35,6
229.25,35,7
229.3,35,6
229.35,35,7
229.4,36,8
229.45,35,7
229.5,35,7
229.55,35,7
229.6,36,6
229.65,35,7
229.7,35,6
229.75,35,6
229.8,36,7
229.85,36,7
229.9,35,6
229.95,35,7
230,36,7
230.05,36,7
230.1,34,7
230.15,35,6
230.2,34,7
230.25,35,6
230.3,36,7
230.35,35,7
230.4,35,7
230.45,35,7
230.5,36,7
230.55,35,6
230.6,35,7
230.65,37,7
230.7,35,8
230.75,35,7
230.8,36,6
230.85,36,7
230.9,36,7
230.95,34,7
231,35,7
231.05,36,6
231.1,36,6
231.15,34,8
231.2,36,7
231.25,35,6
231.3,35,6
231.35,35,7
231.4,34,6
231.45,35,7
231.5,35,7
231.55,35,7
231.6,37,7
231.65,35,7
231.7,36,7
231.75,36,7
231.8,35,6
231.85,36,6
231.9,35,7
231.95,36,6
232,36,6
232.05,36,8
232.1,36,5
232.15,36,7
232.2,34,6
232.25,36,6
232.3,36,8
232.35,35,7
232.4,36,8
232.45,35,7
232.5,35,6
232.55,35,6
232.6,34,7
232.65,37,7
232.7,36,7
232.75,36,7
232.8,36,7
232.85,36,7
232.9,36,6
232.95,34,7
233,35,6
233.05,36,6
233.1,36,7
233.15,36,6
233.2,34,6
233.25,35,6
233.3,35,6
233.35,36,7
233.4,36,7
233.45,34,6
233.5,35,8
233.55,35,7
233.6,36,5
233.65,36,6
233.7,34,7
233.75,35,6
233.8,35,6
233.85,36,7
233.9,36,6
233.95,37,7
234,36,6
234.05,35,6
234.1,35,8
234.15,34,6
234.2,35,8
234.25,35,7
234.3,35,6
234.35,35,7
234.4,34,6
234.45,36,7
234.5,35,6
234.55,35,7
234.6,35,7
234.65,36,6
234.7,35,7
234.75,35,7
234.8,35,7
234.85,36,6
234.9,36,6
234.95,35,7
235,36,8
235.05,34,7
235.1,34,7
235.15,36,6
235.2,35,7
235.25,35,6
235.3,34,7
235.35,35,6
235.4,34,7
235.45,35,7
235.5,35,6
235.55,36,7
235.6,36,6
235.65,34,7
235.7,36,6
235.75,34,6
235.8,36,5
235.85,36,7
235.9,35,8
235.95,36,7
236,35,7
236.05,35,7
236.1,35,8
236.15,36,6
236.2,35,7
236.25,34,7
236.3,36,7
236.35,37,7
236.4,34,6
236.45,36,6
236.5,35,6
236.55,36,7
236.6,35,7
236.65,35,6
236.7,35,7
236.75,35,7
236.8,35,7
236.85,35,7
236.9,35,7
236.95,34,8
237,36,7
237.05,35,6
237.1,36,7
237.15,35,6
237.2,35,7
237.25,35,7
237.3,35,7
237.35,36,7
237.4,36,8
237.45,36,6
237.5,35,7
237.55,36,7
237.6,35,7
237.65,34,9
237.7,36,8
237.75,34,7
237.8,35,7
237.85,35,7
237.9,36,7
237.95,34,7
238,35,7
238.05,35,7
238.1,35,7
238.15,36,6
238.2,35,6
238.25,36,6
238.3,35,6
238.35,35,6
238.4,35,7
238.45,36,7
238.5,35,5
238.55,36,7
238.6,34,6
238.65,35,7
238.7,34,6
238.75,35,7
238.8,35,6
238.85,36,6
238.9,35,7
238.95,35,7
239,35,7
239.05,34,5
239.1,35,6
239.15,34,6
239.2,35,7
239.25,35,6
239.3,35,7
239.35,35,7
239.4,35,7
239.45,35,7
239.5,35,6
239.55,35,6
239.6,35,7
239.65,36,7
239.7,34,7
239.75,34,6
239.8,36,7
239.85,34,7
239.9,35,7
239.95,35,7
240,36,8
240.05,34,6
240.1,34,7
240.15,36,6
240.2,34,6
240.25,35,8
240.3,37,7
240.35,36,8
240.4,35,6
240.45,36,7
240.5,36,6
240.55,34,7
240.6,36,6
240.65,36,7
240.7,35,6
240.75,34,8
240.8,35,8
240.85,35,7
240.9,35,7
240.95,35,7
241,36,7
241.05,35,7
241.1,35,7
241.15,35,6
241.2,34,7
241.25,35,6
241.3,36,8
241.35,36,7
241.4,36,6
241.45,35,7
241.5,35,7
241.55,35,7
241.6,35,7
241.65,36,7
241.7,36,7
241.75,35,7
241.8,36,7
241.85,36,8
241.9,36,6
241.95,35,8
242,36,8
242.05,35,6
242.1,35,8
242.15,35,7
242.2,35,7
242.25,36,7
242.3,36,6
242.35,35,8
242.4,35,6
242.45,36,6
242.5,35,8
242.55,36,7
242.6,36,7
242.65,35,7
242.7,35,6
242.75,36,7
242.8,36,6
242.85,34,8
242.9,36,6
242.95,34,7
243,36,6
243.05,36,6
243.1,35,7
243.15,35,6
243.2,36,7
243.25,35,8
243.3,36,8
243.35,36,6
243.4,36,7
243.45,36,6
243.5,35,8
243.55,35,6
243.6,35,6
243.65,35,6
243.7,36,6
243.75,36,7
243.8,36,7
243.85,35,7
243.9,35,6
243.95,35,7
244,35,8
244.05,35,7
244.1,35,7
244.15,36,6
244.2,35,7
244.25,36,6
244.3,36,7
244.35,36,6
244.4,35,7
244.45,35,6
244.5,35,5
244.55,36,7
244.6,36,7
244.65,36,7
244.7,36,5
244.75,35,7
244.8,36,6
244.85,36,6
244.9,34,6
244.95,35,7
245,35,7
245.05,36,7
245.1,35,7
245.15,37,7
245.2,34,6
245.25,36,8
245.3,35,5
245.35,35,6
245.4,34,7
245.45,36,6
245.5,34,8
245.55,36,6
245.6,36,7
245.65,35,7
245.7,34,6
245.75,36,6
245.8,35,6
245.85,33,6
245.9,36,8
245.95,36,6
246,35,7
246.05,36,6
246.1,37,7
246.15,34,8
246.2,36,8
246.25,34,7
246.3,35,6
246.35,35,8
246.4,35,7
246.45,36,7
246.5,34,7
246.55,36,7
246.6,36,6
246.65,36,8
246.7,35,7
246.75,34,7
246.8,36,6
246.85,35,6
246.9,34,6
246.95,34,6
247,36,7
247.05,35,7
247.1,35,7
247.15,35,7
247.2,35,6
247.25,35,8
247.3,36,7
247.35,35,7
247.4,36,7
247.45,35,7
247.5,36,7
247.55,35,7
247.6,34,6
247.65,36,7
247.7,35,7
247.75,35,7
247.8,36,7
247.85,35,7
247.9,34,6
247.95,35,6
248,36,6
248.05,34,8
248.1,36,6
248.15,35,6
248.2,36,7
248.25,35,8
248.3,36,6
248.35,34,7
248.4,34,6
248.45,36,7
248.5,34,5
248.55,36,7
248.6,35,5
248.65,35,6
248.7,36,8
248.75,36,6
248.8,36,7
248.85,35,8
248.9,35,7
248.95,34,6
249,35,6
249.05,36,6
249.1,35,6
249.15,35,6
249.2,35,6
249.25,35,6
249.3,35,8
249.35,35,7
249.4,36,7
249.45,35,6
249.5,36,7
249.55,35,6
249.6,36,7
249.65,35,7
249.7,37,8
249.75,36,8
249.8,36,5
249.85,35,7
249.9,36,6
249.95,35,7
250,35,7
250.05,36,7
250.1,35,7
250.15,35,8
250.2,34,6
250.25,36,7
250.3,35,6
250.35,34,7
250.4,35,7
250.45,36,7
250.5,34,7
250.55,36,7
250.6,36,8
250.65,35,7
250.7,34,7
250.75,37,7
250.8,36,7
250.85,36,7
250.9,35,7
250.95,35,6
251,34,7
251.05,36,7
251.1,37,7
251.15,35,6
251.2,34,6
251.25,35,5
251.3,36,6
251.35,35,8
251.4,35,7
251.45,35,7
251.5,34,7
251.55,37,6
251.6,36,6
251.65,36,7
251.7,36,7
251.75,35,8
251.8,35,7
251.85,35,7
251.9,35,7
251.95,35,7
252,35,7
252.05,35,7
252.1,35,7
252.15,34,8
252.2,35,6
252.25,36,6
252.3,36,6
252.35,35,7
252.4,36,7
252.45,35,7
252.5,34,7
252.55,35,6
252.6,36,7
252.65,36,6
252.7,35,7
252.75,35,7
252.8,35,6
252.85,34,6
252.9,36,7
252.95,35,7
253,36,6
253.05,34,7
253.1,35,7
253.15,35,6
253.2,34,8
253.25,34,7
253.3,34,7
253.35,34,8
253.4,36,6
253.45,36,6
253.5,35,7
253.55,36,7
253.6,34,6
253.65,34,8
253.7,35,7
253.75,35,6
253.8,35,6
253.85,36,7
253.9,36,7
253.95,34,6
254,35,6
254.05,35,7
254.1,35,9
254.15,35,6
254.2,34,7
254.25,35,6
254.3,35,5
254.35,35,7
254.4,35,7
254.45,35,6
254.5,34,7
254.55,34,8
254.6,36,8
254.65,35,7
254.7,35,7
254.75,36,7
254.8,36,8
254.85,36,8
254.9,35,7
254.95,35,8
255,35,7
255.05,36,8
255.1,35,7
255.15,35,7
255.2,35,6
255.25,36,7
255.3,36,7
255.35,35,7
255.4,35,7
255.45,36,7
255.5,35,8
255.55,35,6
255.6,35,6
255.65,35,7
255.7,34,7
255.75,36,7
255.8,35,6
255.85,35,7
255.9,34,6
255.95,35,7
256,35,8
256.05,35,6
256.1,35,7
256.15,36,7
256.2,36,6
256.25,36,7
256.3,35,7
256.35,35,8
256.4,36,7
256.45,35,6
256.5,36,7
256.55,36,8
256.6,36,7
256.65,35,6
256.7,35,7
256.75,35,7
256.8,35,6
256.85,35,8
256.9,34,5
256.95,35,7
257,35,7
257.05,36,8
257.1,35,6
257.15,35,6
257.2,36,7
257.25,34,7
257.3,34,6
257.35,35,6
257.4,35,7
257.45,35,7
257.5,35,8
257.55,34,7
257.6,35,8
257.65,35,7
257.7,35,9
257.75,36,7
257.8,35,6
257.85,35,6
257.9,35,7
257.95,35,8
258,35,7
258.05,36,7
258.1,36,6
258.15,36,7
258.2,36,7
258.25,36,7
258.3,35,7
258.35,36,7
258.4,36,7
258.45,36,8
258.5,36,6
258.55,35,8
258.6,35,7
258.65,36,7
258.7,36,6
258.75,35,7
258.8,35,7
258.85,35,7
258.9,36,6
258.95,35,8
259,36,6
259.05,36,7
259.1,36,7
259.15,35,7
259.2,36,6
259.25,35,7
259.3,36,6
259.35,36,6
259.4,35,7
259.45,35,7
259.5,35,7
259.55,35,6
259.6,35,8
259.65,34,7
259.7,34,7
259.75,36,7
259.8,35,6
259.85,35,7
259.9,36,7
259.95,36,9
260,35,7
260.05,35,7
260.1,35,7
260.15,35,8
260.2,36,6
260.25,35,7
260.3,35,6
260.35,36,7
260.4,36,7
260.45,35,8
260.5,34,7
260.55,35,7
260.6,36,6
260.65,36,7
260.7,35,6
260.75,35,8
260.8,36,6
260.85,35,7
260.9,36,5
260.95,36,8
261,35,6
261.05,35,7
261.1,36,7
261.15,36,8
261.2,36,8
261.25,36,6
261.3,36,6
261.35,35,7
261.4,35,6
261.45,36,6
261.5,36,7
261.55,35,6
261.6,35,7
261.65,35,7
261.7,35,7
261.75,35,7
261.8,36,7
261.85,36,8
261.9,37,6
261.95,35,7
262,35,8
262.05,36,7
262.1,35,7
262.15,34,7
262.2,35,7
262.25,35,7
262.3,35,7
262.35,35,6
262.4,36,7
262.45,34,7
262.5,35,7
262.55,36,7
262.6,35,8
262.65,36,8
262.7,35,6
262.75,35,6
262.8,35,6
262.85,36,8
262.9,36,7
262.95,35,7
263,35,8
263.05,36,7
263.1,35,6
263.15,35,7
263.2,36,7
263.25,36,7
263.3,36,8
263.35,36,7
263.4,34,6
263.45,34,7
263.5,35,6
263.55,35,7
263.6,35,8
263.65,35,6
263.7,36,6
263.75,36,7
263.8,36,6
263.85,35,7
263.9,36,7
263.95,36,7
264,34,7
264.05,36,7
264.1,35,7
264.15,35,8
264.2,36,7
264.25,36,6
264.3,36,6
264.35,34,7
264.4,36,7
264.45,35,7
264.5,35,7
264.55,35,6
264.6,35,7
264.65,34,7
264.7,36,6
264.75,35,6
264.8,36,6
264.85,36,6
264.9,35,6
264.95,36,7
265,36,7
265.05,35,7
265.1,35,7
265.15,36,8
265.2,36,7
265.25,36,6
265.3,35,7
265.35,36,8
265.4,34,7
265.45,36,6
265.5,34,7
265.55,35,7
265.6,35,6
265.65,35,7
265.7,35,7
265.75,35,6
265.8,35,7
265.85,36,8
265.9,35,7
265.95,36,6
266,33,6
266.05,35,7
266.1,36,8
266.15,35,7
266.2,35,7
266.25,34,6
266.3,36,7
266.35,36,5
266.4,35,7
266.45,35,7
266.5,36,7
266.55,35,7
266.6,35,6
266.65,35,6
266.7,36,7
266.75,35,6
266.8,34,7
266.85,36,7
266.9,36,6
266.95,36,8
267,36,6
267.05,35,6
267.1,35,8
267.15,36,7
267.2,36,8
267.25,35,8
267.3,36,7
267.35,35,7
267.4,36,6
267.45,36,7
267.5,35,6
267.55,34,7
267.6,35,7
267.65,36,7
267.7,36,7
267.75,35,6
267.8,36,7
267.85,36,7
267.9,36,7
267.95,35,8
268,33,7
268.05,36,7
268.1,35,7
268.15,36,7
268.2,36,7
268.25,34,7
268.3,35,7
268.35,36,7
268.4,35,7
268.45,36,7
268.5,36,7
268.55,34,7
268.6,36,7
268.65,34,5
268.7,35,6
268.75,36,6
268.8,36,7
268.85,35,7
268.9,36,7
268.95,36,6
269,34,8
269.05,35,6
269.1,36,6
269.15,37,7
269.2,35,7
269.25,36,7
269.3,36,6
269.35,35,7
269.4,37,7
269.45,36,8
269.5,36,7
269.55,35,7
269.6,35,7
269.65,35,7
269.7,36,8
269.75,35,7
269.8,36,7
269.85,36,7
269.9,35,6
269.95,35,7
270,36,7
270.05,35,6
270.1,35,6
270.15,35,7
270.2,35,7
270.25,35,7
270.3,35,8
270.35,35,6
270.4,35,7
270.45,35,6
270.5,35,6
270.55,37,7
270.6,35,7
270.65,35,7
270.7,36,7
270.75,37,7
270.8,35,7
270.85,34,8
270.9,34,7
270.95,35,7
271,35,8
271.05,36,6
271.1,35,7
271.15,36,7
271.2,35,7
271.25,36,7
271.3,35,7
271.35,35,7
271.4,35,7
271.45,34,8
271.5,35,8
271.55,35,7
271.6,36,6
271.65,35,7
271.7,35,6
271.75,36,7
271.8,34,6
271.85,35,7
271.9,36,7
271.95,35,7
272,36,7
272.05,34,6
272.1,35,6
272.15,35,7
272.2,36,7
272.25,36,7
272.3,35,6
272.35,36,6
272.4,36,7
272.45,34,6
272.5,35,7
272.55,36,7
272.6,35,7
272.65,36,6
272.7,35,6
272.75,36,8
272.8,36,7
272.85,34,7
272.9,36,6
272.95,35,7
273,36,6
273.05,34,6
273.1,35,7
273.15,35,6
273.2,37,7
273.25,35,6
273.3,35,8
273.35,36,6
273.4,36,7
273.45,35,8
273.5,36,8
273.55,36,6
273.6,35,7
273.65,37,6
273.7,36,7
273.75,35,6
273.8,36,6
273.85,35,7
273.9,36,6
273.95,35,7
274,35,6
274.05,36,6
274.1,36,7
274.15,36,6
274.2,35,6
274.25,34,5
274.3,35,7
274.35,37,7
274.4,35,6
274.45,35,7
274.5,35,9
274.55,35,7
274.6,36,7
274.65,36,8
274.7,34,7
274.75,36,7
274.8,35,8
274.85,36,8
274.9,35,7
274.95,35,6
275,35,7
275.05,35,7
275.1,36,8
275.15,36,6
275.2,36,7
275.25,36,7
275.3,37,7
275.35,36,7
275.4,35,6
275.45,35,7
275.5,36,7
275.55,35,6
275.6,37,5
275.65,36,7
275.7,36,8
275.75,35,6
275.8,36,6
275.85,35,6
275.9,35,6
275.95,35,7
276,35,7
276.05,35,6
276.1,35,6
276.15,34,7
276.2,35,5
276.25,35,7
276.3,36,7
276.35,36,8
276.4,36,8
276.45,35,6
276.5,34,6
276.55,35,6
276.6,35,6
276.65,35,6
276.7,37,7
276.75,35,7
276.8,36,6
276.85,35,7
276.9,35,7
276.95,35,7
277,34,7
277.05,36,7
277.1,36,7
277.15,36,6
277.2,35,7
277.25,36,7
277.3,34,8
277.35,35,7
277.4,36,7
277.45,36,6
277.5,36,7
277.55,35,7
277.6,35,7
277.65,35,7
277.7,36,7
277.75,35,7
277.8,35,6
277.85,36,5
277.9,34,6
277.95,35,7
278,34,7
278.05,36,6
278.1,36,7
278.15,35,7
278.2,35,7
278.25,36,6
278.3,35,7
278.35,35,7
278.4,35,6
278.45,36,6
278.5,35,7
278.55,35,8
278.6,36,7
278.65,36,7
278.7,35,7
278.75,35,7
278.8,36,8
278.85,36,6
278.9,35,7
278.95,35,7
279,35,7
279.05,36,7
279.1,35,7
279.15,35,8
279.2,35,7
279.25,36,7
279.3,35,7
279.35,35,8
279.4,35,7
279.45,35,7
279.5,37,7
279.55,36,9
279.6,34,7
279.65,36,7
279.7,36,7
279.75,34,6
279.8,35,7
279.85,35,6
279.9,35,6
279.95,36,7
280,35,6
280.05,36,7
280.1,35,7
280.15,35,7
280.2,36,8
280.25,35,7
280.3,35,7
280.35,34,7
280.4,34,7
280.45,34,6
280.5,35,6
280.55,35,7
280.6,35,6
280.65,34,7
280.7,35,7
280.75,35,6
280.8,36,6
280.85,36,8
280.9,35,6
280.95,36,6
281,36,7
281.05,35,7
281.1,36,7
281.15,35,6
281.2,35,6
281.25,34,7
281.3,36,7
281.35,33,7
281.4,36,7
281.45,36,6
281.5,36,7
281.55,35,7
281.6,35,7
281.65,36,7
281.7,34,6
281.75,35,7
281.8,36,7
281.85,36,6
281.9,35,7
281.95,35,7
282,35,8
282.05,36,8
282.1,35,6
282.15,35,7
282.2,35,7
282.25,36,6
282.3,35,8
282.35,35,6
282.4,35,6
282.45,36,7
282.5,34,6
282.55,35,6
282.6,36,6
282.65,36,8
282.7,36,8
282.75,36,8
282.8,36,6
282.85,35,7
282.9,35,8
282.95,36,6
283,36,7
283.05,35,6
283.1,36,7
283.15,35,7
283.2,35,7
283.25,35,7
283.3,36,8
283.35,36,8
283.4,35,7
283.45,35,7
283.5,35,7
283.55,35,7
283.6,35,6
283.65,36,6
283.7,36,7
283.75,35,7
283.8,36,8
283.85,34,7
283.9,35,7
283.95,36,6
284,36,7
284.05,35,7
284.1,35,8
284.15,35,6
284.2,36,8
284.25,36,8
284.3,34,7
284.35,34,8
284.4,36,7
284.45,36,7
284.5,35,7
284.55,35,8
284.6,36,7
284.65,35,7
284.7,35,8
284.75,36,6
284.8,35,7
284.85,36,6
284.9,36,6
284.95,35,7
285,34,9
285.05,34,7
285.1,35,7
285.15,35,7
285.2,35,7
285.25,36,6
285.3,35,7
285.35,35,7
285.4,36,7
285.45,34,6
285.5,36,7
285.55,36,8
285.6,34,7
285.65,37,7
285.7,35,9
285.75,36,7
285.8,36,6
285.85,34,6
285.9,35,6
285.95,36,6
286,36,6
286.05,36,6
286.1,35,6
286.15,35,7
286.2,34,6
286.25,36,8
286.3,35,7
286.35,35,6
286.4,35,6
286.45,34,6
286.5,36,7
286.55,36,6
286.6,35,8
286.65,35,8
286.7,36,6
286.75,36,7
286.8,36,7
286.85,35,7
286.9,36,6
286.95,35,7
287,34,6
287.05,36,7
287.1,35,6
287.15,36,8
287.2,36,7
287.25,35,6
287.3,35,6
287.35,36,7
287.4,37,7
287.45,35,7
287.5,36,8
287.55,36,6
287.6,36,7
287.65,34,7
287.7,35,7
287.75,35,7
287.8,36,8
287.85,35,7
287.9,36,8
287.95,34,7
288,35,7
288.05,36,6
288.1,34,7
288.15,37,7
288.2,36,7
288.25,36,7
288.3,34,6
288.35,36,6
288.4,35,6
288.45,36,7
288.5,35,7
288.55,35,6
288.6,36,7
288.65,35,7
288.7,36,8
288.75,34,7
288.8,35,7
288.85,35,7
288.9,35,6
288.95,36,7
289,36,7
289.05,35,6
289.1,36,6
289.15,35,7
289.2,35,7
289.25,36,6
289.3,35,7
289.35,35,7
289.4,35,8
289.45,36,6
289.5,35,8
289.55,35,7
289.6,36,7
289.65,36,8
289.7,35,8
289.75,35,7
289.8,35,7
289.85,36,8
289.9,35,7
289.95,35,6
290,35,9
290.05,36,7
290.1,35,7
290.15,36,7
290.2,34,7
