time,with feedback,without feedback
17.8,-66,69
17.85,-44,38
17.9,-11,22
17.95,18,-25
18,53,-69
18.05,77,-85
18.1,99,-114
18.15,112,-128
18.2,120,-132
18.25,123,-143
18.3,120,-127
18.35,110,-115
18.4,94,-95
18.45,68,-61
18.5,42,-42
18.55,15,7
18.6,-16,38
18.65,-57,64
18.7,-73,102
18.75,-99,120
18.8,-118,130
18.85,-126,143
18.9,-131,147
18.95,-130,146
19,-120,137
19.05,-112,121
19.1,-90,91
19.15,-67,59
19.2,-48,31
19.25,-14,9
19.3,13,-49
19.35,44,-68
19.4,69,-92
19.45,90,-120
19.5,105,-127
19.55,117,-134
19.6,119,-136
19.65,119,-120
19.7,111,-114
19.75,96,-81
19.8,74,-54
19.85,48,-27
19.9,20,13
19.95,-5,42
20,-44,76
20.05,-65,107
20.1,-91,124
20.15,-113,133
20.2,-120,141
20.25,-128,144
20.3,-126,139
20.35,-115,129
20.4,-105,113
20.45,-79,82
20.5,-57,55
20.55,-26,23
20.6,2,-2
20.65,35,-52
20.7,64,-69
20.75,86,-95
20.8,100,-121
20.85,113,-126
20.9,116,-131
20.95,116,-130
21,108,-115
21.05,97,-109
21.1,77,-72
21.15,50,-50
21.2,26,-17
21.25,1,18
21.3,-42,47
21.35,-61,84
21.4,-84,111
21.45,-105,125
21.5,-116,131
21.55,-125,140
21.6,-124,141
21.65,-113,135
21.7,-107,123
21.75,-82,104
21.8,-60,75
21.85,-32,48
21.9,-2,23
21.95,23,-15
22,56,-57
22.05,77,-72
22.1,95,-99
22.15,108,-118
22.2,115,-125
22.25,115,-130
22.3,108,-123
22.35,97,-111
22.4,80,-101
22.45,58,-68
22.5,29,-48
22.55,7,-7
22.6,-27,23
22.65,-54,55
22.7,-73,86
22.75,-99,108
22.8,-111,123
22.85,-120,134
22.9,-124,136
22.95,-114,135
23,-108,131
23.05,-89,121
23.1,-67,96
23.15,-46,67
23.2,-12,42
23.25,13,18
23.3,41,-19
23.35,66,-57
23.4,87,-76
23.45,98,-102
23.5,109,-116
23.55,112,-123
23.6,109,-129
23.65,102,-116
23.7,89,-107
23.75,65,-90
23.8,44,-64
23.85,21,-37
23.9,-6,1
23.95,-42,28
24,-62,61
24.05,-85,90
24.1,-103,112
24.15,-112,125
24.2,-120,132
24.25,-117,134
24.3,-110,132
24.35,-99,125
24.4,-77,109
24.45,-58,87
24.5,-29,62
24.55,-2,32
24.6,28,11
24.65,54,-38
24.7,71,-59
24.75,91,-82
24.8,101,-106
24.85,108,-115
24.9,109,-122
24.95,104,-124
25,93,-110
25.05,75,-103
25.1,54,-74
25.15,31,-53
25.2,2,-25
25.25,-29,8
25.3,-51,41
25.35,-71,69
25.4,-96,95
25.45,-106,112
25.5,-115,125
25.55,-117,130
25.6,-108,131
25.65,-103,129
25.7,-81,121
25.75,-64,100
25.8,-36,75
25.85,-9,48
25.9,15,26
25.95,42,-7
26,63,-49
26.05,84,-66
26.1,98,-91
26.15,104,-108
26.2,107,-116
26.25,104,-124
26.3,96,-115
26.35,83,-104
26.4,62,-94
26.45,40,-63
26.5,17,-43
26.55,-10,-8
26.6,-37,21
26.65,-64,53
26.7,-84,81
26.75,-99,103
26.8,-107,116
26.85,-116,126
26.9,-110,129
26.95,-106,128
27,-91,122
27.05,-70,110
27.1,-50,91
27.15,-24,64
27.2,1,40
27.25,26,13
27.3,56,-26
27.35,71,-51
27.4,88,-72
27.45,98,-94
27.5,103,-109
27.55,103,-116
27.6,97,-120
27.65,86,-108
27.7,71,-102
27.75,53,-81
27.8,31,-55
27.85,6,-32
27.9,-25,0
27.95,-42,29
28,-63,63
28.05,-83,89
28.1,-96,104
28.15,-103,118
28.2,-111,127
28.25,-108,127
28.3,-104,125
28.35,-97,116
28.4,-78,98
28.45,-63,76
28.5,-37,53
28.55,-8,29
28.6,14,1
28.65,40,-39
28.7,62,-60
28.75,77,-82
28.8,94,-101
28.85,99,-111
28.9,103,-118
28.95,100,-111
29,91,-102
29.05,75,-94
29.1,59,-64
29.15,37,-45
29.2,17,-13
29.25,-13,14
29.3,-39,41
29.35,-62,69
29.4,-79,94
29.45,-94,108
29.5,-103,120
29.55,-109,124
29.6,-106,125
29.65,-99,119
29.7,-87,109
29.75,-66,90
29.8,-48,67
29.85,-23,43
29.9,1,17
29.95,30,-17
30,53,-45
30.05,70,-65
30.1,85,-86
30.15,96,-101
30.2,99,-109
30.25,97,-115
30.3,92,-105
30.35,79,-97
30.4,64,-77
30.45,45,-56
30.5,24,-33
30.55,-5,-2
30.6,-29,27
30.65,-51,56
30.7,-71,78
30.75,-88,99
30.8,-98,112
30.85,-105,120
30.9,-105,123
30.95,-99,121
31,-88,112
31.05,-69,100
31.1,-55,80
31.15,-30,54
31.2,-7,30
31.25,20,3
31.3,44,-30
31.35,63,-50
31.4,77,-73
31.45,90,-91
31.5,96,-103
31.55,96,-110
31.6,93,-109
31.65,84,-99
31.7,67,-90
31.75,50,-66
31.8,31,-49
31.85,8,-21
31.9,-22,10
31.95,-41,36
32,-63,63
32.05,-79,87
32.1,-91,102
32.15,-102,114
32.2,-103,120
32.25,-100,119
32.3,-92,115
32.35,-75,106
32.4,-60,91
32.45,-40,66
32.5,-15,45
32.55,6,22
32.6,33,-9
32.65,55,-36
32.7,69,-62
32.75,83,-81
32.8,92,-94
32.85,95,-102
32.9,93,-108
32.95,84,-102
33,75,-97
33.05,57,-86
33.1,38,-64
33.15,17,-48
33.2,-9,-21
33.25,-34,2
33.3,-55,27
33.35,-73,54
33.4,-85,70
33.45,-95,95
33.5,-101,108
33.55,-98,115
33.6,-94,118
33.65,-78,116
33.7,-64,111
33.75,-45,97
33.8,-21,78
33.85,3,58
33.9,27,36
33.95,47,14
34,64,-14
34.05,78,-37
34.1,88,-60
34.15,93,-76
34.2,91,-94
34.25,85,-101
34.3,74,-105
34.35,62,-98
34.4,42,-94
34.45,24,-75
34.5,1,-57
34.55,-27,-37
34.6,-47,-5
34.65,-67,19
34.7,-78,46
34.75,-89,67
