time,year,month,avgt
1951-01-01,1951,1,25.85
1952-01-01,1952,1,26.26
1953-01-01,1953,1,29.26
1954-01-01,1954,1,18.45
1955-01-01,1955,1,21.16
1956-01-01,1956,1,23.5
1957-01-01,1957,1,16.06
1958-01-01,1958,1,22.05
1959-01-01,1959,1,20.71
1960-01-01,1960,1,22.65
1961-01-01,1961,1,15.32
1962-01-01,1962,1,21.9
1963-01-01,1963,1,20.24
1964-01-01,1964,1,23.84
1965-01-01,1965,1,18.05
1966-01-01,1966,1,21.5
1967-01-01,1967,1,26.98
1968-01-01,1968,1,14.65
1969-01-01,1969,1,20.89
1970-01-01,1970,1,9.68
1971-01-01,1971,1,13.89
1972-01-01,1972,1,22.92
1973-01-01,1973,1,27.02
1974-01-01,1974,1,23.31
1975-01-01,1975,1,25.69
1976-01-01,1976,1,16.02
1977-01-01,1977,1,15.53
1978-01-01,1978,1,21.5
1979-01-01,1979,1,22.06
1980-01-01,1980,1,24.13
