time,year,month,avgt
1951-07-01,1951,7,71.48
1952-07-01,1952,7,74.73
1953-07-01,1953,7,72.03
1954-07-01,1954,7,70.32
1955-07-01,1955,7,76.47
1956-07-01,1956,7,68.97
1957-07-01,1957,7,71.03
1958-07-01,1958,7,71.68
1959-07-01,1959,7,74.18
1960-07-01,1960,7,69.47
1961-07-01,1961,7,71.52
1962-07-01,1962,7,68.98
1963-07-01,1963,7,71.97
1964-07-01,1964,7,74.39
1965-07-01,1965,7,68.9
1966-07-01,1966,7,72.21
1967-07-01,1967,7,71.63
1968-07-01,1968,7,72.71
1969-07-01,1969,7,69.65
1970-07-01,1970,7,71.94
1971-07-01,1971,7,68.39
1972-07-01,1972,7,70.94
1973-07-01,1973,7,72.71
1974-07-01,1974,7,69.26
1975-07-01,1975,7,72.74
1976-07-01,1976,7,68.45
1977-07-01,1977,7,71.68
1978-07-01,1978,7,68.81
1979-07-01,1979,7,72.47
1980-07-01,1980,7,72.23
