time,year,month,avgt
1991-03-01,1991,3,37.42
1992-03-01,1992,3,31.47
1993-03-01,1993,3,31.4
1994-03-01,1994,3,33.08
1995-03-01,1995,3,39.98
1996-03-01,1996,3,31.02
1997-03-01,1997,3,33.16
1998-03-01,1998,3,38.39
1999-03-01,1999,3,34.44
2000-03-01,2000,3,40.15
2001-03-01,2001,3,30.87
2002-03-01,2002,3,36.27
2003-03-01,2003,3,34.39
2004-03-01,2004,3,37.87
2005-03-01,2005,3,31.13
2006-03-01,2006,3,36.0
2007-03-01,2007,3,31.81
2008-03-01,2008,3,33.84
2009-03-01,2009,3,36.29
2010-03-01,2010,3,41.74
2011-03-01,2011,3,34.44
2012-03-01,2012,3,45.85
2013-03-01,2013,3,33.81
2014-03-01,2014,3,27.74
2015-03-01,2015,3,29.82
2016-03-01,2016,3,42.73
2017-03-01,2017,3,31.69
2018-03-01,2018,3,34.08
2019-03-01,2019,3,35.15
2020-03-01,2020,3,42.27
