time,year,month,avgt
1951-10-01,1951,10,51.5
1952-10-01,1952,10,46.55
1953-10-01,1953,10,52.32
1954-10-01,1954,10,54.77
1955-10-01,1955,10,52.31
1956-10-01,1956,10,49.84
1957-10-01,1957,10,50.16
1958-10-01,1958,10,48.87
1959-10-01,1959,10,51.42
1960-10-01,1960,10,49.32
1961-10-01,1961,10,53.92
1962-10-01,1962,10,50.15
1963-10-01,1963,10,55.47
1964-10-01,1964,10,49.18
1965-10-01,1965,10,51.18
1966-10-01,1966,10,48.52
1967-10-01,1967,10,51.03
1968-10-01,1968,10,53.31
1969-10-01,1969,10,48.94
1970-10-01,1970,10,52.84
1971-10-01,1971,10,54.69
1972-10-01,1972,10,45.71
1973-10-01,1973,10,50.94
1974-10-01,1974,10,44.35
1975-10-01,1975,10,53.24
1976-10-01,1976,10,46.53
1977-10-01,1977,10,49.66
1978-10-01,1978,10,48.55
1979-10-01,1979,10,50.19
1980-10-01,1980,10,47.37
