time,year,month,avgt
1951-04-01,1951,4,47.63
1952-04-01,1952,4,50.23
1953-04-01,1953,4,46.63
1954-04-01,1954,4,48.43
1955-04-01,1955,4,49.67
1956-04-01,1956,4,42.53
1957-04-01,1957,4,48.9
1958-04-01,1958,4,49.08
1959-04-01,1959,4,48.02
1960-04-01,1960,4,49.55
1961-04-01,1961,4,43.85
1962-04-01,1962,4,46.95
1963-04-01,1963,4,45.72
1964-04-01,1964,4,45.72
1965-04-01,1965,4,42.15
1966-04-01,1966,4,43.97
1967-04-01,1967,4,43.47
1968-04-01,1968,4,51.08
1969-04-01,1969,4,47.62
1970-04-01,1970,4,48.68
1971-04-01,1971,4,42.32
1972-04-01,1972,4,41.22
1973-04-01,1973,4,48.78
1974-04-01,1974,4,48.12
1975-04-01,1975,4,40.68
1976-04-01,1976,4,49.62
1977-04-01,1977,4,46.8
1978-04-01,1978,4,43.33
1979-04-01,1979,4,45.43
1980-04-01,1980,4,48.02
