time,year,month,avgt
1991-09-01,1991,9,59.9
1992-09-01,1992,9,61.38
1993-09-01,1993,9,60.48
1994-09-01,1994,9,60.82
1995-09-01,1995,9,59.08
1996-09-01,1996,9,62.3
1997-09-01,1997,9,60.65
1998-09-01,1998,9,63.2
1999-09-01,1999,9,64.78
2000-09-01,2000,9,59.35
2001-09-01,2001,9,62.4
2002-09-01,2002,9,65.03
2003-09-01,2003,9,62.97
2004-09-01,2004,9,63.22
2005-09-01,2005,9,66.17
2006-09-01,2006,9,61.08
2007-09-01,2007,9,64.28
2008-09-01,2008,9,64.3
2009-09-01,2009,9,60.38
2010-09-01,2010,9,64.62
2011-09-01,2011,9,65.15
2012-09-01,2012,9,62.55
2013-09-01,2013,9,61.3
2014-09-01,2014,9,63.22
2015-09-01,2015,9,68.57
2016-09-01,2016,9,66.1
2017-09-01,2017,9,65.6
2018-09-01,2018,9,67.2
2019-09-01,2019,9,63.8
2020-09-01,2020,9,59.73
