time,year,month,avgt
1991-02-01,1991,2,30.04
1992-02-01,1992,2,26.88
1993-02-01,1993,2,18.29
1994-02-01,1994,2,19.2
1995-02-01,1995,2,22.79
1996-02-01,1996,2,25.24
1997-02-01,1997,2,30.36
1998-02-01,1998,2,31.75
1999-02-01,1999,2,28.18
2000-02-01,2000,2,27.62
2001-02-01,2001,2,26.86
2002-02-01,2002,2,31.64
2003-02-01,2003,2,21.11
2004-02-01,2004,2,24.78
2005-02-01,2005,2,26.93
2006-02-01,2006,2,27.86
2007-02-01,2007,2,19.43
2008-02-01,2008,2,26.22
2009-02-01,2009,2,27.41
2010-02-01,2010,2,28.04
2011-02-01,2011,2,23.96
2012-02-01,2012,2,32.05
2013-02-01,2013,2,26.84
2014-02-01,2014,2,21.93
2015-02-01,2015,2,12.7
2016-02-01,2016,2,30.59
2017-02-01,2017,2,33.3
2018-02-01,2018,2,32.43
2019-02-01,2019,2,27.57
2020-02-01,2020,2,31.53
