time,year,month,avgt
1991-05-01,1991,5,63.19
1992-05-01,1992,5,58.48
1993-05-01,1993,5,59.44
1994-05-01,1994,5,56.44
1995-05-01,1995,5,56.92
1996-05-01,1996,5,55.19
1997-05-01,1997,5,53.53
1998-05-01,1998,5,62.84
1999-05-01,1999,5,59.39
2000-05-01,2000,5,59.34
2001-05-01,2001,5,58.82
2002-05-01,2002,5,54.98
2003-05-01,2003,5,56.77
2004-05-01,2004,5,61.55
2005-05-01,2005,5,54.55
2006-05-01,2006,5,58.65
2007-05-01,2007,5,60.32
2008-05-01,2008,5,55.47
2009-05-01,2009,5,57.97
2010-05-01,2010,5,61.23
2011-05-01,2011,5,62.03
2012-05-01,2012,5,63.13
2013-05-01,2013,5,59.87
2014-05-01,2014,5,60.0
2015-05-01,2015,5,65.56
2016-05-01,2016,5,59.47
2017-05-01,2017,5,57.4
2018-05-01,2018,5,64.26
2019-05-01,2019,5,58.53
2020-05-01,2020,5,59.81
