time,year,month,avgt
1951-12-01,1951,12,27.03
1952-12-01,1952,12,30.13
1953-12-01,1953,12,33.45
1954-12-01,1954,12,27.85
1955-12-01,1955,12,20.47
1956-12-01,1956,12,30.4
1957-12-01,1957,12,33.15
1958-12-01,1958,12,19.19
1959-12-01,1959,12,29.94
1960-12-01,1960,12,21.6
1961-12-01,1961,12,27.63
1962-12-01,1962,12,22.95
1963-12-01,1963,12,18.08
1964-12-01,1964,12,27.89
1965-12-01,1965,12,30.84
1966-12-01,1966,12,27.24
1967-12-01,1967,12,28.87
1968-12-01,1968,12,23.5
1969-12-01,1969,12,21.56
1970-12-01,1970,12,21.56
1971-12-01,1971,12,29.95
1972-12-01,1972,12,28.84
1973-12-01,1973,12,28.16
1974-12-01,1974,12,28.9
1975-12-01,1975,12,26.06
1976-12-01,1976,12,21.39
1977-12-01,1977,12,26.69
1978-12-01,1978,12,28.69
1979-12-01,1979,12,31.37
1980-12-01,1980,12,19.85
